id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
89,Senior Data Engineer (w/m/d) | SSIS & SQL DWH,Senior Data Engineer,FlexIT Consulting GmbH,Arbeitnow API,2026-07-09,,,,Data & Analytics,"Du baust die Datenarchitektur, auf der andere ihre Entscheidungen treffen – wir sorgen dafür, dass du dabei die richtige Bühne findest. Skalierbare ETL-Prozesse, saubere DWH-Architekturen, End-to-End-Verantwortung für komplexe Datenlandschaften – du willst nicht nur Daten bewegen, sondern Architektur gestalten? Als spezialisierte Personalberatung für IT & Data arbeiten wir mit Unternehmen in NRW zusammen, die genau danach suchen: erfahrene Data Engineers Wir nehmen dich in unser Expertennetzwerk auf und bringen dich gezielt mit den Positionen zusammen, die wirklich zu dir passen – bei Kunden v",0,"SQL,SSIS,Data Warehousing,ETL"
90,"Agentic AI Engineer | RAG, LLM (m/w/d)",Agentic AI Engineer,FlexIT Consulting GmbH,Arbeitnow API,2026-07-09,,,,Data & Analytics,"LLMs, Agenten und RAG – du entwickelst innovative KI-Lösungen? Dann haben wir hier vielleicht genau die richtige Chance für dich. Wichtiger Hinweis: Dies ist keine konkrete Vakanz bei FlexIT Consulting. Als spezialisierte Personalberatung für IT & KI arbeiten wir mit Unternehmen in NRW zusammen, die genau danach suchen: Menschen wie dich. Wir nehmen dich in unser Expertennetzwerk auf und bringen dich gezielt mit den Positionen zusammen, die wirklich zu dir passen – bei Kunden vom Mittelstand bis zum Konzern. Aufgaben Entwicklung von KI-Skills und Agenten – von der Idee bis zur produktiven Bere",0,"LLM,RAG,KI-Lösungen,KI-Skills"
91,Leiter Softwareentwicklung (m/w/d) - Berlin Hybrid,Leiter Softwareentwicklung,DWWA Personalberatung GmbH,Arbeitnow API,2026-07-09,,,,Gestión & Agile,"Du suchst einen sicheren Job als Leiter Softwareentwicklung (m/w/d) in Vollzeit, bei dem du eine gewachsene Entwicklungsorganisation zukunftssicher aufstellen kannst? Möchtest du die technologische Transformation in Richtung SaaS und den gezielten Einsatz von KI im R&D-Bereich aktiv und mit starkem Konzernrückgrat gestalten? Suchst du ein stabiles Umfeld mit langen Betriebszugehörigkeiten, das ehrliche, bodenständige Arbeit schätzt und dir gleichzeitig echten Gestaltungsspielraum bietet? Über das Unternehmen: Etablierter Marktführer: Ein renommierter deutscher Softwarehersteller für B2B Softwa",0,"SaaS,KI"
92,Flutter/Full-Stack Developer (m/w/d),Frontend Developer,Ergosign GmbH,Arbeitnow API,2026-07-09,,,3.0,Frontend,"Deine Aufgaben Deine Aufgaben In der Position als Flutter Developer bist du zuständig für die Umsetzung ansprechender und anspruchsvoller Anwendungen mit Hilfe von Flutter. Das Aufgabenspektrum erstreckt sich dabei auf Neu- und Weiterentwicklung sowie Optimierung und Testing bestehender Anwendungen. Du bist dabei nicht nur für das Frontend zuständig, sondern übernimmst idealerweise auch Verantwortung für die dazugehörigen Backend-Services. Du arbeitest dabei in einem engagierten Team aus UX Designern und UX Developern. Deine Rolle ist die technische Brücke zwischen nutzerzentriertem Design und",0,Flutter
93,"Software Engineer, Data Infrastructure & Acquisition - Düsseldorf, Germany","Software Engineer, Data Infrastructure & Acquisition",Speechify,Arbeitnow API,2026-07-09,,,,Data & Analytics,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today, nearly 200 people around the globe ",0,
94,"Senior Software Engineer, Windows/Desktop Applications - Frankfurt, Germany","Senior Software Engineer, Windows/Desktop Applications",Speechify,Arbeitnow API,2026-07-09,,,,Frontend,"Mission The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today, nearly 200 people around th",0,"Windows,Desktop Applications"
95,"Software Engineer, Platform - Frankfurt, Germany","Software Engineer, Platform",Speechify,Arbeitnow API,2026-07-09,,,,Backend,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, books, Google Docs, news articles, websites – into audio, so they can read faster, read more, and remember more. Speechify's text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App. Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity. Today, nearly 200 people around the globe ",0,
96,Werkstudent (m/w/d) Software Testing / Qualitätssicherung,Werkstudent Software Testing / Qualitätssicherung,321 MED GmbH,Arbeitnow API,2026-07-09,,,,Soporte & IT,"Über 321 MED 321 Med unterstützt medizinische Einrichtungen dabei, effizienter, wirtschaftlicher und zukunftsfähiger zu arbeiten. Wir stehen für klare Kommunikation, starke Partnerschaften und Lösungen, die im Praxisalltag wirklich funktionieren. Aufgaben Durchführung manueller Tests unserer Webanwendungen und digitalen Produkte Erstellung, Pflege und Dokumentation von Testfällen, Testplänen und Testergebnissen Identifikation, Analyse und Nachverfolgung von Softwarefehlern in enger Zusammenarbeit mit dem Entwicklungsteam Unterstützung bei der Qualitätssicherung von Frontend- und Backend-Funkti",0,"Software Testing,Qualitätssicherung,Testautomatisierung,Frontend Testing,Backend Testing"
97,AI Integration Engineer | LLM Agents & RAG (w/m/d),AI Integration Engineer,FlexIT Consulting GmbH,Arbeitnow API,2026-07-09,7272.73,10000.0,,Data & Analytics,"Düsseldorf | 1x/Woche vor Ort, sonst mobiles Arbeiten | 80.000–110.000 € / Jahr Unser Auftraggeber ist ein etablierter IT- und Digitalisierungsdienstleister eines großen Unternehmensverbunds in der Immobilienbranche im Raum Düsseldorf. Der Anspruch: KI nicht als Pilotprojekt, sondern als festen Bestandteil des Tagesgeschäfts – End-to-End, produktiv, im laufenden Betrieb. Dafür baut der Kunde ein schlagkräftiges 3-köpfiges Team auf, das Prozesse identifiziert, als KI-Skill konzipiert und ausrollt. Als AI Integration Engineer berichtest du direkt an den Teamleiter und bist die treibende Kraft im",0,"RAG,KI,LLM Agents"
98,"AI for Science (Materials, Chemistry, Knowledge Graphs, Ontologies) - Developer (m/f/d)",AI for Science Developer,datin GmbH,Arbeitnow API,2026-07-09,,,,Data & Analytics,"Hey there! We're datin GmbH, and we are building the ""new power grid"" for scientific innovation. Traditional scientific knowledge is still largely hidden from LLMs because physical R&D data (like lab experiments, simulations, and equipment logs) is rarely recorded in a structured, machine-actionable way. Text alone isn’t rich enough to support automated discovery. To bridge this gap, we have built an ontology-driven, schema-based knowledge graph management system. Now, we are taking it to the next level: building autonomous, goal-oriented AI agents that can interact directly with our graph dat",0,"AI Agents,Knowledge Graphs,Ontologies,LLMs,Schema-based management systems"
99,Software Engineer (Frontend) - Intern,Software Engineer (Frontend) - Intern,Heidi Systems,Arbeitnow API,2026-07-08,,,,Frontend,"About Heidi Systems Heidi Systems is building the data infrastructure layer for buildings and energy. We help property owners and managers digitize metering, consumption data, reporting, and billing workflows in one of the largest and most outdated infrastructure markets in Europe. We are looking for a skilled frontend engineer who wants to own the product layer that makes complex infrastructure data legible, actionable, and fast. You will work directly on our SvelteKit application — the interface through which property managers, operations teams, and customers interact with our systems every ",0,"SvelteKit,Frontend Development"
100,Senior Full-Stack Engineer (all genders),Senior Full-Stack Engineer,Lumiform,Arbeitnow API,2026-07-09,,,,Fullstack,"At Lumiform, we help companies digitise and automate their frontline operations, from inspections to trainings and workflows, so they can meet the highest safety, quality, and efficiency standards every day. Over 1,000 paying customers and 45,000 active users rely on Lumiform to operate safety and efficiently across manufacturing, retail, logistics, hospitality, healthcare, and other compliance-heavy industries. Backed by leading investors like Capnamic and 42CAP, and with over €10 million raised, we are scaling fast and building the category-defining platform for AI-powered frontline safety a",0,
101,E-Commerce Shopware Developer (m/w/d),E-Commerce Shopware Developer,Memodo,Arbeitnow API,2026-07-08,,,,Backend,"Werde Teil unseres Teams Festanstellung, unbefristet, Vollzeit (40 Stunden), ab sofort, remote (deutschlandweit; einmal im Monat in München) Baue die E-Commerce-Plattform von morgen. Bei uns verbindest du Architektur, Innovation und Nachhaltigkeit. Als E-Commerce Shopware Developer sorgst du dafür, dass unser Shop zuverlässig läuft und sich weiterentwickelt. Dafür denkst du Systeme neu, vereinfachst Strukturen und setzt sinnvolle technische Lösungen um. Deine Arbeit macht den Unterschied für Installateure und Partner im Alltag. Und genau das bringt die Energiewende voran. Das bieten wir dir Si",0,"Shopware,E-commerce"
102,Software Entwickler (m/w/x),Software Entwickler,K-tronik GmbH,Arbeitnow API,2026-07-08,,,,Backend,"Projektbeschreibung: Technologie begeistert Sie? Uns auch! Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Funk- und Kommunikationsbranche suchen wir einen Software Entwickler (m/w/x) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennen zu lernen - und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten. Aufgaben: Planung und Durchführung des Migrationsprojekts: Upgrade der Build‑Toolchain auf Visual Studio 2017 (MSVC v141 / VS2017 Toolset) - Analyse und Anpassung der Build‑Skripte (CMake, MSBu",0,"Visual Studio 2017,MSVC v141,CMake,MSBuild"
103,"(Senior) Full Stack Software Engineer (m|w|d) - Kotlin, React, AWS",Senior Full Stack Software Engineer,idealo internet GmbH,Arbeitnow API,2026-07-08,,,,Fullstack,"Millions of shopping decisions rely on data flowing reliably through idealo's platform every day. In this role, you'll build and evolve the systems that enable our marketing channels with high-quality product and offer data, ensure accurate billing of paid traffic, and provide reliable tracking that makes marketing initiatives measurable. You'll work across the full stack using Kotlin, TypeScript, React, Kafka and AWS while taking ownership of services from design to production. When a feature goes live and runs smoothly, you see the direct impact of your work. About your new role Lead the dev",0,"React,TypeScript,Kotlin,Kafka,AWS"
104,Head of Software Engineering (m/w/d) for ELMI AI Plattform,Head of Software Engineering,ELMI Power GmbH,Arbeitnow API,2026-07-08,,,,Gestión & Agile,"Baue die Softwareplattform, die unsere Ladeinfrastruktur intelligent macht! ELMI Power entwickelt und vertreibt batteriegestützte DC-Schnellladestationen und Batteriespeichersysteme. Mit ELMI AI bauen wir jetzt die softwareseitige Ergänzung dazu auf: eine Plattform, die unsere Ladestationen und Batteriespeicher intelligent steuert – sie liest und verarbeitet Daten aus dem Energiemanagementsystem, analysiert Preise umliegender Ladestationen und passt die eigene Preisgestaltung dynamisch an, optimiert Nachladestrategien der internen Batterie und betreibt aktiven Energiehandel. Ein Produktmanager",0,"Software Architecture,AI Platforms,Energy Management Systems,Data Processing"
105,Senior Consultant Software Asset Management (SAM) & Microsoft Lizenzberatung (m/w/d),Senior Consultant Software Asset Management (SAM) & Microsoft Lizenzberatung,IQ Solutions,Arbeitnow API,2026-07-08,,,,Gestión & Agile,"Gestalte mit uns die Zukunft des Software Asset Managements Du bist Experte für Microsoft-Lizenzierung, Software Asset Management und Lizenzoptimierung? Du möchtest Unternehmen dabei unterstützen, ihre Softwarelandschaften transparent, compliant und wirtschaftlich zu gestalten? Dann werde Teil unseres Teams und unterstütze unsere Kunden bei der strategischen Lizenzberatung, der Optimierung von Softwarekosten sowie der erfolgreichen Bewältigung von Hersteller-Audits. Aufgaben Deine Aufgaben Beratung unserer Kunden zu Microsoft-Lizenzmodellen und Lizenzstrategien Durchführung von Software Asset ",0,"Software Asset Management,Microsoft Licensing,License Optimization,Software Compliance,Audit Management"
106,Senior Engineering Manager (m / f / d),Senior Engineering Manager,STABL Energy,Arbeitnow API,2026-07-08,,,,Gestión & Agile,"Your Role We are looking for a Senior Engineering Manager to lead and develop our engineering organization in a highly technical product environment combining power electronics, battery storage systems, firmware, cloud software, and systems integration. You will be the disciplinary leader of our developers and own the technical capability, engineering quality, processes, testing, documentation, infrastructure, and sustaining engineering setup of the organization. This is a key leadership role for building a scalable engineering organization that can deliver reliably in projects while also supp",0,"power electronics,battery storage systems,firmware,cloud software,systems integration"
107,AWS Cloud Data Engineer (m/w/d),AWS Cloud Data Engineer,Unigy GmbH,Arbeitnow API,2026-07-08,,,,Data & Analytics,"Wir arbeiten im Energiesektor mit Fokus auf erneuerbare Energien. Unsere Software hat direkten Einfluss auf das Tagesgeschäft und trägt konkret zur Energiewende bei. Bei uns bist du kein kleines Rädchen, sondern gestaltest Systeme, Prozesse und Entscheidungen aktiv mit. Wir arbeiten pragmatisch, schnell und mit hoher fachlicher Verantwortung. Rahmenbedingungen: Arbeitsort: Essen Anstellung: Vollzeit Zielgruppe: erfahrene Entwickler:innen Kommunikation: direkt, wertschätzend, lösungsorientiert Arbeitsweise: kurze Entscheidungswege, schnelle Umsetzung Aufgaben Deine Aufgaben: Betreuung, Beratung",0,"Cloud Computing,AWS"
108,Softwareentwickler (m/w/d) - Minijob / Studenten,Softwareentwickler,FAKT GmbH,Arbeitnow API,2026-07-08,,,,Backend,"Zur Unterstützung unseres Teams suchen wir ab sofort einen engagierten Softwareentwickler (m/w/d) auf Minijob-Basis, gerne auch Studenten. Aufgaben Entwicklung und Pflege von Softwareanwendungen Entwicklung eigener Software und Programme Einführung von Automatisierungstechnik (Dokumentenautomatisierung) Umsetzung neuer Funktionen und Optimierung bestehender Systeme Fehleranalyse und Behebung von Softwareproblemen Zusammenarbeit mit dem Team bei der Planung und Umsetzung von Projekten Dokumentation der entwickelten Lösungen Qualifikation Erfahrung in der Softwareentwicklung Gute Kenntnisse in m",0,"Softwareentwicklung,Automatisierungstechnik,Dokumentenautomatisierung"
109,Praxissemester Softwareentwicklung (m/w/d),Praxissemester Softwareentwicklung,FAKT GmbH,Arbeitnow API,2026-07-08,,,,Fullstack,"Du möchtest dein theoretisches Wissen aus dem Studium in spannenden Softwareprojekten anwenden und praktische Erfahrungen sammeln? Dann bist du bei uns genau richtig! Aufgaben Mitarbeit an der Entwicklung moderner Softwarelösungen Unterstützung bei der Konzeption, Implementierung und dem Test neuer Funktionen Entwicklung und Pflege von Softwareanwendungen Entwicklung eigener Software und Programme Einführung von Automatisierungstechnik (Dokumentenautomatisierung) Umsetzung neuer Funktionen und Optimierung bestehender Systeme Fehleranalyse und Behebung von Softwareproblemen Zusammenarbeit mit d",0,"Softwareentwicklung,Dokumentenautomatisierung,Softwaretest,Systemoptimierung"
110,Fullstack Entwickler:in (m/w/d),Fullstack Entwickler,Unigy GmbH,Arbeitnow API,2026-07-08,,,,Fullstack,"Wir arbeiten im Energiesektor mit Fokus auf erneuerbare Energien. Unsere Software hat direkten Einfluss auf das Tagesgeschäft und trägt konkret zur Energiewende bei. Bei uns bist du kein kleines Rädchen, sondern gestaltest Systeme, Prozesse und Entscheidungen aktiv mit. Wir arbeiten pragmatisch, schnell und mit hoher fachlicher Verantwortung. Rahmenbedingungen: Arbeitsort: Essen Anstellung: Vollzeit Zielgruppe: erfahrene Entwickler:innen Kommunikation: direkt, wertschätzend, lösungsorientiert Arbeitsweise: kurze Entscheidungswege, schnelle Umsetzung Aufgaben Als Fullstack Entwickler:in arbeite",0,
111,Senior Cloud / IAM Consultant (AWS) (m/w/d),Senior Cloud / IAM Consultant (AWS),Rockstardevelopers GmbH,Arbeitnow API,2026-07-08,,,,DevOps & Cloud,"Wer wir sind Rockstardevelopers, gegründet 2015 in Mannheim, weitere Büros in Stuttgart und München. Wir sind ein Software-Entwickler mit Erfahrung aus hunderten von individuellen Projekten für Enterprise- und Mittelstands-Kunden. Kurze Wege, ehrliches Feedback, keine politischen Spielchen. Keine Hierarchie-Ebenen zwischen dir und den Leuten, die Entscheidungen treffen. Deine Aufgaben Beratung und Umsetzung von Identity & Access Management (IAM) auf AWS-Infrastruktur Konzeption von IAM-Lösungen (One Identity Manager, Keycloak o. ä.), Berechtigungs- und Rezertifizierungskonzepte Cloud-Architekt",0,"AWS,Identity & Access Management,One Identity Manager,Keycloak"
112,Senior Cloud / DevOps Engineer (AWS) (m/w/d),Senior Cloud / DevOps Engineer,Rockstardevelopers GmbH,Arbeitnow API,2026-07-08,,,,DevOps & Cloud,"Wer wir sind Rockstardevelopers, gegründet 2015 in Mannheim, weitere Büros in Stuttgart und München. Wir sind ein Software-Entwickler mit Erfahrung aus hunderten von individuellen Projekten für Enterprise- und Mittelstands-Kunden. Kurze Wege, ehrliches Feedback, keine politischen Spielchen. Keine Hierarchie-Ebenen zwischen dir und den Leuten, die Entscheidungen treffen. Deine Aufgaben Aufbau und Betrieb von Cloud-Infrastruktur (AWS, teils Azure) in Enterprise- und regulierten Umgebungen Infrastructure as Code (Terraform), CI/CD-Pipelines, Container (Docker/Kubernetes) Cloud-Architektur mitgest",0,"Azure,AWS,Terraform,CI/CD,Docker,Kubernetes"
113,Senior Fullstack Entwickler (m/w/d),Senior Fullstack Entwickler,Rockstardevelopers GmbH,Arbeitnow API,2026-07-08,,,,Fullstack,"Wer wir sind Rockstardevelopers, gegründet 2015 in Mannheim, weitere Büros in Stuttgart und München. Wir sind ein Software-Entwickler mit Erfahrung aus hunderten von individuellen Projekten für Enterprise- und Mittelstands-Kunden. Kurze Wege, ehrliches Feedback, keine politischen Spielchen. Keine Hierarchie-Ebenen zwischen dir und den Leuten, die Entscheidungen treffen. Deine Aufgaben Du arbeitest in Kundenprojekten bei großen Unternehmen und öffentlichen Auftraggebern, eingebettet in deren Teams, mit voller Verantwortung für deinen Bereich. Fullstack-Entwicklung in Enterprise- und regulierten",0,Fullstack-Entwicklung
114,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,LinkedIn,2026-07-05,2300.0,2800.0,1.0,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"JavaScript,Node.js,Git,AWS,Docker"
115,Data Scientist,Data Scientist,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-03-24,1600.0,2800.0,3.0,Data & Analytics,"Buscamos un Data Scientist para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"Spark,R,Tableau"
116,Administrador Cloud,Administrador Cloud,KPMG Panamá,Konzerta,2026-07-08,2300.0,4100.0,3.0,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. KPMG Panamá busca Administrador Cloud con al menos 3 años de experiencia.,1,"Azure,Git,Terraform,Docker,Kubernetes"
117,Ingeniero de Soporte,Ingeniero de Soporte,Caja de Seguro Social,LinkedIn,2026-06-28,900.0,1600.0,3.0,Soporte & IT,"En Caja de Seguro Social requerimos Ingeniero de Soporte con experiencia en Windows Server, Linux, Jira para liderar nuestra transformación digital.",1,"Linux,Excel,Jira,Windows Server"
118,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banistmo,Computrabajo,2026-03-28,2200.0,3200.0,1.0,DevOps & Cloud,"Buscamos un Cloud Infrastructure Specialist para nuestro equipo de tecnología en Banistmo, Panamá.",1,"Azure,Git"
119,iOS App Developer,iOS App Developer,Global Bank,Konzerta,2026-01-27,1500.0,2800.0,1.0,Mobile,"Buscamos un iOS App Developer para nuestro equipo de tecnología en Global Bank, Panamá.",1,"JavaScript,Git,Flutter,React Native"
120,Android Developer,Android Developer,Dell Technologies Panamá,Computrabajo,2026-01-31,1400.0,2000.0,1.0,Mobile,"En Dell Technologies Panamá requerimos Android Developer con experiencia en Flutter, React Native, JavaScript para liderar nuestra transformación digital.",1,"JavaScript,Flutter,React Native"
121,Administrador de Sistemas,Administrador de Sistemas,Encuentra24 PA,Computrabajo,2026-02-28,1200.0,1700.0,1.0,Soporte & IT,"Buscamos un Administrador de Sistemas para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Linux,Excel,Jira,Windows Server,Cisco"
122,IT Project Manager,IT Project Manager,PwC Panamá,LinkedIn,2026-02-24,2400.0,3400.0,2.0,Gestión & Agile,"En PwC Panamá requerimos IT Project Manager con experiencia en Scrum, Jira, Agile para liderar nuestra transformación digital.",1,"Excel,Scrum,Jira,Agile"
123,Data Analyst,Data Analyst,Tigo Panamá,Konzerta,2026-06-10,1900.0,3300.0,2.0,Data & Analytics,Gran oportunidad en Ciudad de Panamá. Tigo Panamá busca Data Analyst con al menos 2 años de experiencia.,1,"Python,R,Tableau,PostgreSQL,Power BI"
124,Scrum Master,Scrum Master,PwC Panamá,LinkedIn,2026-07-09,1900.0,3400.0,2.0,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca Scrum Master con al menos 2 años de experiencia.,1,"Jira,Agile"
125,Java Engineer,Java Engineer,Banco General,Computrabajo,2026-06-18,1700.0,2500.0,1.0,Backend,"En Banco General requerimos Java Engineer con experiencia en Python, C#, SQL para liderar nuestra transformación digital.",1,"SQL,Python,C#"
126,Android Developer,Android Developer,KPMG Panamá,Computrabajo,2026-06-24,1900.0,2900.0,2.0,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en KPMG Panamá, Panamá.",1,"JavaScript,Git,Kotlin,React Native"
127,Scrum Master,Scrum Master,Banco General,LinkedIn,2026-07-12,2400.0,3300.0,1.0,Gestión & Agile,"En Banco General requerimos Scrum Master con experiencia en Scrum, Agile, Excel para liderar nuestra transformación digital.",1,"Excel,Scrum,Agile"
128,.NET Consultant,.NET Consultant,Encuentra24 PA,Computrabajo,2026-04-24,1500.0,2000.0,1.0,Backend,Gran oportunidad en Ciudad de Panamá. Encuentra24 PA busca .NET Consultant con al menos 1 años de experiencia.,1,"Java,C#,Spring Boot,.NET"
129,Mobile Developer,Mobile Developer,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-06-22,1700.0,2400.0,2.0,Mobile,Gran oportunidad en Ciudad de Panamá. Autoridad del Canal de Panamá (ACP) busca Mobile Developer con al menos 2 años de experiencia.,1,"JavaScript,Git,Flutter,React Native,Swift"
130,UI Developer,UI Developer,GBM Panamá,LinkedIn,2026-04-09,1300.0,1900.0,1.0,Frontend,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca UI Developer con al menos 1 años de experiencia.,1,"JavaScript,Angular,HTML"
131,Python Developer,Python Developer,Sonda Panamá,Computrabajo,2026-03-06,1500.0,2600.0,2.0,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en Sonda Panamá, Panamá.",1,"Python,PostgreSQL,C#"
132,Data Scientist,Data Scientist,Sonda Panamá,LinkedIn,2026-06-21,2200.0,2700.0,2.0,Data & Analytics,"En Sonda Panamá requerimos Data Scientist con experiencia en PostgreSQL, R, SQL para liderar nuestra transformación digital.",1,"SQL,R,PostgreSQL"
133,UI Developer,UI Developer,Dell Technologies Panamá,LinkedIn,2026-02-20,1400.0,2500.0,1.0,Frontend,Gran oportunidad en Ciudad de Panamá. Dell Technologies Panamá busca UI Developer con al menos 1 años de experiencia.,1,"Angular,Git,Vue"
134,IT Project Manager,IT Project Manager,KPMG Panamá,Computrabajo,2026-03-10,2700.0,3400.0,6.0,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. KPMG Panamá busca IT Project Manager con al menos 6 años de experiencia.,1,"Excel,Agile"
135,Product Owner,Product Owner,Tigo Panamá,Konzerta,2026-05-01,2400.0,4100.0,3.0,Gestión & Agile,"Buscamos un Product Owner para nuestro equipo de tecnología en Tigo Panamá, Panamá.",1,"Scrum,Agile"
136,iOS App Developer,iOS App Developer,Dell Technologies Panamá,Computrabajo,2026-04-06,1700.0,2300.0,1.0,Mobile,Gran oportunidad en Ciudad de Panamá. Dell Technologies Panamá busca iOS App Developer con al menos 1 años de experiencia.,1,"JavaScript,Git,Kotlin,Swift"
137,Android Developer,Android Developer,Multibank,Konzerta,2026-01-21,1900.0,2800.0,2.0,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Multibank, Panamá.",1,"Flutter,Kotlin,React Native"
138,Frontend Developer,Frontend Developer,EY Panamá,Computrabajo,2026-03-05,1200.0,2200.0,3.0,Frontend,"En EY Panamá requerimos Frontend Developer con experiencia en Vue, CSS, HTML para liderar nuestra transformación digital.",1,"JavaScript,HTML,Vue,CSS"
139,Administrador Cloud,Administrador Cloud,EY Panamá,LinkedIn,2026-02-22,2200.0,4200.0,1.0,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. EY Panamá busca Administrador Cloud con al menos 1 años de experiencia.,1,"Linux,Azure,Python,AWS,Docker"
140,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,KPMG Panamá,LinkedIn,2026-02-17,2400.0,4400.0,3.0,DevOps & Cloud,"En KPMG Panamá requerimos Cloud Infrastructure Specialist con experiencia en Linux, Terraform, Azure para liderar nuestra transformación digital.",1,"Linux,Azure,Terraform"
141,Administrador de Sistemas,Administrador de Sistemas,EY Panamá,Konzerta,2026-01-26,800.0,1400.0,1.0,Soporte & IT,Gran oportunidad en Ciudad de Panamá. EY Panamá busca Administrador de Sistemas con al menos 1 años de experiencia.,1,"Linux,Excel,Jira,Windows Server,Cisco"
142,BI Engineer,BI Engineer,KPMG Panamá,LinkedIn,2026-02-24,1900.0,3100.0,2.0,Data & Analytics,"Buscamos un BI Engineer para nuestro equipo de tecnología en KPMG Panamá, Panamá.",1,"Excel,SQL,PostgreSQL,Power BI"
143,Mobile Developer,Mobile Developer,Tigo Panamá,LinkedIn,2026-06-27,1300.0,1600.0,1.0,Mobile,"Buscamos un Mobile Developer para nuestro equipo de tecnología en Tigo Panamá, Panamá.",1,"JavaScript,Git,Kotlin"
144,Product Owner,Product Owner,Encuentra24 PA,Konzerta,2026-03-08,2000.0,3500.0,1.0,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. Encuentra24 PA busca Product Owner con al menos 1 años de experiencia.,1,"Excel,Scrum,Jira,Agile"
145,Data Analyst,Data Analyst,Banistmo,Computrabajo,2026-02-24,2400.0,3100.0,1.0,Data & Analytics,"En Banistmo requerimos Data Analyst con experiencia en PostgreSQL, Python, Tableau para liderar nuestra transformación digital.",1,"SQL,Python,R,Tableau,PostgreSQL"
146,DevOps Engineer,DevOps Engineer,Banco General,Konzerta,2026-01-17,2700.0,4400.0,8.0,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. Banco General busca DevOps Engineer con al menos 8 años de experiencia.,1,"Azure,AWS,Kubernetes"
147,IT Project Manager,IT Project Manager,Cable & Wireless,Konzerta,2026-06-25,2300.0,2900.0,3.0,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. Cable & Wireless busca IT Project Manager con al menos 3 años de experiencia.,1,"Excel,Scrum,Jira"
148,Frontend Developer,Frontend Developer,GBM Panamá,Konzerta,2026-04-15,1600.0,2600.0,2.0,Frontend,"Buscamos un Frontend Developer para nuestro equipo de tecnología en GBM Panamá, Panamá.",1,"JavaScript,React,Angular,Git,CSS"
149,BI Engineer,BI Engineer,Global Bank,Konzerta,2026-03-01,1900.0,3600.0,3.0,Data & Analytics,"Buscamos un BI Engineer para nuestro equipo de tecnología en Global Bank, Panamá.",1,"SQL,Python,PostgreSQL,Power BI"
150,Fullstack Engineer,Fullstack Engineer,GBM Panamá,Konzerta,2026-03-09,2400.0,3400.0,3.0,Fullstack,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Fullstack Engineer con al menos 3 años de experiencia.,1,"Node.js,Python"
151,Data Analyst,Data Analyst,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-07-11,2300.0,2800.0,3.0,Data & Analytics,"Buscamos un Data Analyst para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"Excel,Spark,R,Tableau,Power BI"
